state,county_fips,county,votes_gop,votes_dem,total_votes,votes_others,per_votes_others,per_dem,per_gop,state_code,county_code,pop_total,median_age,median_income,households_median_value,households_avg_size,households_total,households_median_gross_rent,mean_travel_time,pop_total_male_rate,pop_total_female_rate,pop_18_39_male_rate,pop_18_39_female_rate,pop_40_64_male_rate,pop_40_64_female_rate,pop_over_65_male_rate,pop_over_65_female_rate,veterans_rate,inmigrants_rate,white_rate,black_rate,native_rate,asian_rate,pacific_rate,other_rate,hispanic_rate,two_more_races_rate,high_school_rate,bachelors_rate,poverty_rate,households_renter_rate,households_owner_rate,unemployment_rate,public_transport_rate,no_health_insurance_rate,winner,delta_per_dem,delta_per_gop,delta_per_oth,latitude,longitude
Alabama,01001,Autauga County,18110.0,5908.0,24661.0,643.0,0.026073557438999972,0.239568549532,0.734357893029,1,1,55221,37.7,51281.0,141300.0,2.68,20396,883.0,23675,48.43,51.57,13.93,14.41,15.94,16.75,5.82,7.72,9.97,1.56,77.4,18.68,0.42,0.97,0.04,0.93,2.61,1.57,17.86,8.87,12.78,26.08,73.92,7.64,0.04,9.97,gop,-2.6189114946162526,0.8020530530002503,1.8168584416159979,32.536152921436546,-86.64119616803883
Alabama,01003,Baldwin County,72780.0,18409.0,94090.0,2901.0,0.03083218195299997,0.195653098098,0.773514719949,1,3,195121,42.2,50254.0,169300.0,2.6,74104,879.0,81184,48.85,51.15,12.44,12.29,16.6,18.17,8.44,9.69,10.05,3.53,86.43,9.6,0.6,0.67,0.0,0.96,4.5,1.74,16.53,13.52,13.22,28.48,71.52,7.5,0.06,12.81,gop,-2.0012642948228567,-0.03827714615670175,2.0395414409795602,30.72586230172138,-87.72395376445844
Alabama,01005,Barbour County,5431.0,4848.0,10390.0,111.0,0.01068334937500004,0.466602502406,0.522714148219,1,5,26932,38.8,32964.0,92200.0,2.61,9222,579.0,8329,53.83,46.17,18.71,11.77,17.08,15.08,6.91,9.15,7.58,2.74,47.36,46.77,0.19,0.91,0.0,3.45,4.61,1.33,18.29,5.24,23.84,36.41,63.59,17.65,0.13,13.86,gop,-4.5920405351934335,3.933863552199874,0.6581769829935593,31.867888656342394,-85.38924517387589
Alabama,01007,Bibb County,6733.0,1874.0,8748.0,141.0,0.016117969821,0.214220393233,0.769661636946,1,7,22604,38.9,38678.0,102700.0,2.95,7027,651.0,8089,53.41,46.59,17.23,12.34,18.55,15.72,6.43,7.97,5.23,1.11,76.65,21.44,0.41,0.09,0.0,0.03,2.22,1.37,23.59,4.19,15.43,24.89,75.11,8.31,0.19,8.88,gop,-4.7965281895374545,3.899783048628592,0.8967451409088611,32.996456285921184,-87.12496297519768
Alabama,01009,Blount County,22808.0,2150.0,25384.0,426.0,0.016782225023399988,0.0846990230066,0.89851875197,1,9,57710,40.7,45813.0,119800.0,2.74,20816,601.0,21450,49.41,50.59,13.0,12.25,17.06,17.49,7.34,9.14,7.56,4.15,95.1,1.53,0.56,0.14,0.0,0.96,8.63,1.7,18.75,5.88,16.55,21.1,78.9,7.67,0.15,11.54,gop,-3.877887524192211,3.3589644380086696,0.5189230861835434,33.98524765933215,-86.56975624844863
Alabama,01011,Bullock County,1139.0,3530.0,4701.0,32.0,0.006807062326999985,0.750904062965,0.242288874708,1,11,10678,39.3,31938.0,68600.0,2.73,3683,570.0,3740,53.01,46.99,17.33,12.77,19.16,15.23,6.06,8.53,4.01,5.37,26.64,70.71,1.16,0.21,0.0,0.0,4.43,1.28,20.31,4.53,23.28,29.16,70.84,17.98,0.26,17.12,dem,-1.2164759900412463,0.7238103740980293,0.4926656159432202,32.09815194538011,-85.71120899798353
Alabama,01013,Butler County,4891.0,3716.0,8685.0,78.0,0.008981001727000004,0.427864133564,0.563154864709,1,13,20354,40.5,32229.0,78900.0,2.49,8056,575.0,7610,46.68,53.32,11.7,14.01,15.63,17.62,7.22,10.59,7.16,0.71,54.16,44.03,0.06,0.4,0.0,0.29,1.18,1.07,22.67,5.76,25.03,29.94,70.06,10.91,0.0,12.08,gop,-3.2644144407490785,2.7353957823262363,0.5290186584228445,31.752936285017643,-86.68058318622563
Alabama,01015,Calhoun County,32803.0,13197.0,47376.0,1376.0,0.029044241809999982,0.278558763931,0.692396994259,1,15,116648,39.1,41703.0,105900.0,2.52,45154,637.0,45108,48.24,51.76,13.75,14.69,16.41,17.31,6.51,8.98,9.32,2.56,75.11,20.48,0.19,0.86,0.01,1.0,3.49,2.35,17.26,7.23,20.0,30.95,69.05,12.28,0.08,11.73,gop,-5.664884852564306,3.772571398187978,1.8923134543763271,33.77618973542812,-85.81892788371418
Alabama,01017,Chambers County,7803.0,5763.0,13778.0,212.0,0.015386848600000058,0.418275511685,0.566337639715,1,17,34079,43.0,34177.0,80800.0,2.44,13787,658.0,13249,47.71,52.29,12.13,13.18,17.2,17.91,7.43,10.53,7.19,1.06,57.67,40.31,0.17,0.76,0.03,0.04,0.45,1.03,21.42,5.28,21.34,32.41,67.59,8.91,0.07,13.72,gop,-5.233292122227226,4.470599571054414,0.7626925511728159,32.91159373040564,-85.38992379742452
Alabama,01019,Cherokee County,8809.0,1524.0,10503.0,170.0,0.01618585166200004,0.1451013996,0.838712748738,1,19,26008,45.4,36296.0,105100.0,2.28,11278,621.0,9631,49.89,50.11,11.09,11.37,19.12,18.04,9.06,10.77,8.99,1.0,92.92,4.93,0.55,0.34,0.02,0.07,1.5,1.18,21.96,5.69,18.91,22.32,77.68,7.9,0.08,9.77,gop,-7.270415310964911,7.096354271448263,0.17406103951663665,34.17497968295821,-85.59996079989199
Alabama,01021,Chilton County,15068.0,2909.0,18255.0,278.0,0.015228704464000042,0.159353601753,0.825417693783,1,21,43819,38.8,41627.0,100100.0,2.68,16237,661.0,17215,49.34,50.66,13.98,13.83,16.51,16.52,6.67,8.26,7.48,5.32,84.05,10.33,0.36,0.29,0.0,4.12,7.65,0.85,22.59,6.1,18.91,23.57,76.43,9.15,0.07,15.89,gop,-3.5151388495994453,2.755145539775995,0.759993309823452,32.85025257838065,-86.71979303213023
Alabama,01023,Choctaw County,4102.0,3109.0,7268.0,57.0,0.007842597687999997,0.427765547606,0.564391854706,1,23,13395,44.9,33536.0,61100.0,2.37,5575,497.0,4214,47.64,52.36,11.35,11.38,16.74,19.25,8.86,11.39,6.52,0.16,55.89,43.31,0.01,0.0,0.0,0.01,0.36,0.77,23.04,5.23,23.09,18.44,81.56,13.58,0.02,13.32,gop,-4.74384699709551,4.336235062520707,0.40761193457479933,32.02241373944195,-88.2639473060493
Alabama,01025,Clarke County,7109.0,5712.0,12936.0,115.0,0.008889919604999963,0.441558441558,0.549551638837,1,25,25070,41.1,32011.0,86900.0,2.57,9622,545.0,7960,47.2,52.8,12.2,13.08,16.05,18.21,7.56,9.95,5.57,0.5,53.56,45.26,0.03,0.36,0.38,0.1,0.34,0.32,26.04,5.74,24.36,33.78,66.22,19.37,0.07,14.99,gop,-1.5301325563855386,0.9810552556887373,0.5490773006968029,31.679890410998595,-87.83209564549814
Alabama,01027,Clay County,5230.0,1234.0,6572.0,108.0,0.01643335362100007,0.187766281193,0.795800365186,1,27,13537,43.8,35327.0,84100.0,2.45,5419,451.0,4926,49.28,50.72,10.19,12.57,18.52,17.85,8.62,10.27,8.34,2.14,81.74,14.5,0.78,0.0,0.0,1.42,3.18,1.57,22.21,4.08,16.26,25.65,74.35,9.36,0.21,14.09,gop,-7.879998386730122,7.2607594101298645,0.6192389766002535,33.26819989491128,-85.86182353790683
Alabama,01029,Cleburne County,5738.0,684.0,6532.0,110.0,0.016840171462999987,0.10471524801,0.878444580527,1,29,15002,41.3,38056.0,108000.0,2.57,5776,557.0,5648,48.89,51.11,12.07,12.66,17.31,17.06,7.85,9.85,5.25,1.54,93.97,2.95,0.22,0.35,0.0,0.57,2.3,1.94,21.4,4.81,16.72,22.61,77.39,8.3,0.04,13.53,gop,-4.936282244402625,4.2360797600582885,0.7002024843443397,33.66784374695962,-85.51760443449372
Alabama,01031,Coffee County,15825.0,4194.0,20513.0,494.0,0.024082289279000024,0.204455711013,0.771461999708,1,31,50884,38.8,46729.0,142400.0,2.62,19160,683.0,21039,49.47,50.53,14.05,13.89,16.5,16.32,6.72,8.7,13.0,4.24,76.78,17.35,0.93,1.23,0.0,0.78,6.44,2.92,15.82,10.32,16.86,32.36,67.64,7.09,0.02,11.15,gop,-4.403528569048937,2.898165479246316,1.5053630898026118,31.402058921110644,-85.98839456898331
Alabama,01033,Colbert County,16718.0,7296.0,24626.0,612.0,0.024851782668000033,0.2962722326,0.678875984732,1,33,54444,42.2,40576.0,99400.0,2.43,22204,632.0,20593,48.31,51.69,12.03,13.06,17.19,17.9,7.74,10.32,7.46,1.86,79.55,15.57,0.57,0.33,0.06,1.26,2.43,2.65,18.96,7.9,17.28,28.69,71.31,9.02,0.09,11.04,gop,-9.56161904344491,8.287187760400684,1.2744312830442261,34.70164419827768,-87.80588967135368
